"cluster","phylum","class","genus","mean_RA_pct","class_grp"
"C2b1","Bacteroidetes","Bacteroidia","NS2b_marine_group",0.727,"Bacteroidia"
"C2b1","Bacteroidetes","Bacteroidia","NS3a_marine_group",0.796,"Bacteroidia"
"C2b1","Bacteroidetes","Bacteroidia","NS4_marine_group",0.157,"Bacteroidia"
"C2b1","Bacteroidetes","Bacteroidia","NS5_marine_group",5.719,"Bacteroidia"
"C2b1","Bacteroidetes","Bacteroidia","NS9_marine_group_ge",1.403,"Bacteroidia"
"C2b1","Bacteroidetes","Bacteroidia","Polaribacter",4.577,"Bacteroidia"
"C2b1","Bacteroidetes","Bacteroidia","Polaribacter_1",1.031,"Bacteroidia"
"C2b1","Bacteroidetes","Bacteroidia","Tenacibaculum",2.261,"Bacteroidia"
"C2b1","Bacteroidetes","Bacteroidia","Ulvibacter",1.336,"Bacteroidia"
"C2b1","Bacteroidetes","Bacteroidia","uncultured",2.98,"Bacteroidia"
"C2b1","Planctomycetes","Phycisphaerae","Urania-1B-19_marine_sediment_group",0.025,"Phycisphaerae"
"C2b1","Proteobacteria","Alphaproteobacteria","Amylibacter",1.159,"Alphaproteobacteria"
"C2b1","Proteobacteria","Alphaproteobacteria","Ascidiaceihabitans",0.228,"Alphaproteobacteria"
"C2b1","Proteobacteria","Alphaproteobacteria","Clade_III_ge",0.036,"Alphaproteobacteria"
"C2b1","Proteobacteria","Alphaproteobacteria","Clade_Ia",0.306,"Alphaproteobacteria"
"C2b1","Proteobacteria","Alphaproteobacteria","Loktanella",1.801,"Alphaproteobacteria"
"C2b1","Proteobacteria","Alphaproteobacteria","Planktomarina",6.156,"Alphaproteobacteria"
"C2b1","Proteobacteria","Alphaproteobacteria","SAR116_clade_ge",0.074,"Alphaproteobacteria"
"C2b1","Proteobacteria","Alphaproteobacteria","Sulfitobacter",4.064,"Alphaproteobacteria"
"C2b1","Proteobacteria","Alphaproteobacteria","Wolbachia",0.609,"Alphaproteobacteria"
"C2b1","Proteobacteria","Alphaproteobacteria","uncultured",0.341,"Alphaproteobacteria"
"C2b1","Proteobacteria","Alphaproteobacteria","uncultured_ge",0.051,"Alphaproteobacteria"
"C2b1","Proteobacteria","Deltaproteobacteria","NB1-j_ge",0.017,"Deltaproteobacteria"
"C2b1","Proteobacteria","Deltaproteobacteria","Peredibacter",0.027,"Deltaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","Arenicella",0.039,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","Candidatus_Tenderia",0.143,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","Halioglobus",0.17,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","IS-44",0.03,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","Litoricola",0.008,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","Luminiphilus",0.074,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","Marinobacter",0.042,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","Methylotenera",0.652,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","OM182_clade_ge",8.511,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","OM43_clade",0.297,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","OM60(NOR5)_clade",2.457,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","Paraglaciecola",0.083,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","Pseudohongiella",1.184,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","Psychrobacter",0.106,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","Psychromonas",0.018,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","RS62_marine_group",1.585,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","Reinekea",0.024,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","SAR86_clade_ge",4.192,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","SAR92_clade",5.487,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","SUP05_cluster",0.057,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","uncultured",18.112,"Gammaproteobacteria"
"C2b1","Thaumarchaeota","Nitrososphaeria","Candidatus_Nitrosopumilus",0.096,"Nitrososphaeria"
"C2b1","Verrucomicrobia","Verrucomicrobiae","LD29",0.101,"Verrucomicrobiae"
"C2b1","Verrucomicrobia","Verrucomicrobiae","Lentimonas",1.647,"Verrucomicrobiae"
"C2b1","Verrucomicrobia","Verrucomicrobiae","MB11C04_marine_group",0.045,"Verrucomicrobiae"
"C2b1","Verrucomicrobia","Verrucomicrobiae","Persicirhabdus",1.078,"Verrucomicrobiae"
"C2b1","Verrucomicrobia","Verrucomicrobiae","Roseibacillus",0.094,"Verrucomicrobiae"
"C2b1","Verrucomicrobia","Verrucomicrobiae","Rubritalea",0.048,"Verrucomicrobiae"
"C2b2","Actinobacteria","Acidimicrobiia","Ilumatobacter",0.077,"Acidimicrobiia"
"C2b2","Actinobacteria","Acidimicrobiia","Sva0996_marine_group",0.062,"Acidimicrobiia"
"C2b2","Actinobacteria","Actinobacteria","Candidatus_Aquiluna",0.104,"Actinobacteria"
"C2b2","Asgardaeota","Lokiarchaeia","Lokiarchaeia_ge",0.036,"Other"
"C2b2","Bacteroidetes","Bacteroidia","Algibacter",0.089,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","Fabibacter",0.021,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","Fluviicola",1.086,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","Formosa",2.523,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","Lutibacter",0.202,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","Lutimonas",0.223,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","Marinoscillum",0.971,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","NS10_marine_group",0.506,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","NS11-12_marine_group_ge",3.078,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","NS2b_marine_group",0.136,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","NS3a_marine_group",0.172,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","NS4_marine_group",0.56,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","NS5_marine_group",2.223,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","NS7_marine_group_ge",0.005,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","NS9_marine_group_ge",1.153,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","Polaribacter",6.059,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","Polaribacter_1",0.906,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","Portibacter",0.068,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","Rubidimonas",0.002,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","Tenacibaculum",2.229,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","Ulvibacter",6.966,"Bacteroidia"
"C2b2","Bacteroidetes","Bacteroidia","uncultured",7.638,"Bacteroidia"
"C2b2","Epsilonbacteraeota","Campylobacteria","Arcobacter",0.022,"Other"
"C2b2","Euryarchaeota","Thermoplasmata","Marine_Group_II_ge",0.001,"Thermoplasmata"
"C2b2","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)_cl","Marinimicrobia_(SAR406_clade)_ge",0.005,"Other"
"C2b2","Patescibacteria","Gracilibacteria","JGI_0000069-P22_ge",0.016,"Gracilibacteria"
"C2b2","Planctomycetes","OM190","OM190_ge",0.011,"Other"
"C2b2","Planctomycetes","Phycisphaerae","Urania-1B-19_marine_sediment_group",0.196,"Phycisphaerae"
"C2b2","Proteobacteria","Alphaproteobacteria","AEGEAN-169_marine_group_ge",0.005,"Alphaproteobacteria"
"C2b2","Proteobacteria","Alphaproteobacteria","Amylibacter",0.701,"Alphaproteobacteria"
"C2b2","Proteobacteria","Alphaproteobacteria","Ascidiaceihabitans",0.968,"Alphaproteobacteria"
"C2b2","Proteobacteria","Alphaproteobacteria","Clade_III_ge",0.204,"Alphaproteobacteria"
"C2b2","Proteobacteria","Alphaproteobacteria","Clade_II_ge",0.186,"Alphaproteobacteria"
"C2b2","Proteobacteria","Alphaproteobacteria","Clade_IV_ge",0.004,"Alphaproteobacteria"
"C2b2","Proteobacteria","Alphaproteobacteria","Clade_Ia",5.659,"Alphaproteobacteria"
"C2b2","Proteobacteria","Alphaproteobacteria","Loktanella",1.676,"Alphaproteobacteria"
"C2b2","Proteobacteria","Alphaproteobacteria","OCS116_clade_ge",0.017,"Alphaproteobacteria"
"C2b2","Proteobacteria","Alphaproteobacteria","Planktomarina",2.646,"Alphaproteobacteria"
"C2b2","Proteobacteria","Alphaproteobacteria","SAR116_clade_ge",0.299,"Alphaproteobacteria"
"C2b2","Proteobacteria","Alphaproteobacteria","Sulfitobacter",3.508,"Alphaproteobacteria"
"C2b2","Proteobacteria","Alphaproteobacteria","Wolbachia",0.093,"Alphaproteobacteria"
"C2b2","Proteobacteria","Alphaproteobacteria","uncultured",0.551,"Alphaproteobacteria"
"C2b2","Proteobacteria","Alphaproteobacteria","uncultured_ge",0.363,"Alphaproteobacteria"
"C2b2","Proteobacteria","Deltaproteobacteria","Desulforhopalus",0.01,"Deltaproteobacteria"
"C2b2","Proteobacteria","Deltaproteobacteria","NB1-j_ge",0.085,"Deltaproteobacteria"
"C2b2","Proteobacteria","Deltaproteobacteria","Peredibacter",0.191,"Deltaproteobacteria"
"C2b2","Proteobacteria","Deltaproteobacteria","SAR324_clade(Marine_group_B)_ge",0.048,"Deltaproteobacteria"
"C2b2","Proteobacteria","Deltaproteobacteria","Sva1033_ge",0.007,"Deltaproteobacteria"
"C2b2","Proteobacteria","Deltaproteobacteria","uncultured",0.005,"Deltaproteobacteria"
"C2b2","Proteobacteria","Gammaproteobacteria","Alteromonas",0.243,"Gammaproteobacteria"
"C2b2","Proteobacteria","Gammaproteobacteria","Arenicella",0.02,"Gammaproteobacteria"
"C2b2","Proteobacteria","Gammaproteobacteria","Candidatus_Carsonella",0.067,"Gammaproteobacteria"
"C2b2","Proteobacteria","Gammaproteobacteria","Candidatus_Tenderia",0.036,"Gammaproteobacteria"
"C2b2","Proteobacteria","Gammaproteobacteria","Colwellia",0.195,"Gammaproteobacteria"
"C2b2","Proteobacteria","Gammaproteobacteria","Halioglobus",0.089,"Gammaproteobacteria"
"C2b2","Proteobacteria","Gammaproteobacteria","IS-44",0.017,"Gammaproteobacteria"
"C2b2","Proteobacteria","Gammaproteobacteria","Litoricola",0.033,"Gammaproteobacteria"
"C2b2","Proteobacteria","Gammaproteobacteria","Luminiphilus",0.381,"Gammaproteobacteria"
"C2b2","Proteobacteria","Gammaproteobacteria","Marinobacter",0.048,"Gammaproteobacteria"
"C2b2","Proteobacteria","Gammaproteobacteria","Methylotenera",0.761,"Gammaproteobacteria"
"C2b2","Proteobacteria","Gammaproteobacteria","Moritella",0.015,"Gammaproteobacteria"
"C2b2","Proteobacteria","Gammaproteobacteria","OM182_clade_ge",4.101,"Gammaproteobacteria"
"C2b2","Proteobacteria","Gammaproteobacteria","OM43_clade",0.446,"Gammaproteobacteria"
"C2b2","Proteobacteria","Gammaproteobacteria","OM60(NOR5)_clade",1.028,"Gammaproteobacteria"
"C2b2","Proteobacteria","Gammaproteobacteria","Paraglaciecola",1.357,"Gammaproteobacteria"
"C2b2","Proteobacteria","Gammaproteobacteria","Porticoccus",0.133,"Gammaproteobacteria"
"C2b2","Proteobacteria","Gammaproteobacteria","Pseudohongiella",0.547,"Gammaproteobacteria"
"C2b2","Proteobacteria","Gammaproteobacteria","Psychrobacter",0.065,"Gammaproteobacteria"
"C2b2","Proteobacteria","Gammaproteobacteria","Psychromonas",0.121,"Gammaproteobacteria"
"C2b2","Proteobacteria","Gammaproteobacteria","RS62_marine_group",0.429,"Gammaproteobacteria"
"C2b2","Proteobacteria","Gammaproteobacteria","Reinekea",0.266,"Gammaproteobacteria"
"C2b2","Proteobacteria","Gammaproteobacteria","SAR86_clade_ge",1.779,"Gammaproteobacteria"
"C2b2","Proteobacteria","Gammaproteobacteria","SAR92_clade",3.013,"Gammaproteobacteria"
"C2b2","Proteobacteria","Gammaproteobacteria","SUP05_cluster",1.514,"Gammaproteobacteria"
"C2b2","Proteobacteria","Gammaproteobacteria","Thiotrichaceae_ge",0.009,"Gammaproteobacteria"
"C2b2","Proteobacteria","Gammaproteobacteria","uncultured",24.943,"Gammaproteobacteria"
"C2b2","Proteobacteria","Gammaproteobacteria","uncultured_ge",0.012,"Gammaproteobacteria"
"C2b2","Spirochaetes","Spirochaetia","uncultured",0.073,"Other"
"C2b2","Tenericutes","Mollicutes","uncultured",0.056,"Other"
"C2b2","Thaumarchaeota","Nitrososphaeria","Candidatus_Nitrosopumilus",0.071,"Nitrososphaeria"
"C2b2","Verrucomicrobia","Verrucomicrobiae","DEV007_ge",0.001,"Verrucomicrobiae"
"C2b2","Verrucomicrobia","Verrucomicrobiae","LD29",0.026,"Verrucomicrobiae"
"C2b2","Verrucomicrobia","Verrucomicrobiae","Lentimonas",2.38,"Verrucomicrobiae"
"C2b2","Verrucomicrobia","Verrucomicrobiae","MB11C04_marine_group",0.08,"Verrucomicrobiae"
"C2b2","Verrucomicrobia","Verrucomicrobiae","Persicirhabdus",0.532,"Verrucomicrobiae"
"C2b2","Verrucomicrobia","Verrucomicrobiae","Roseibacillus",0.11,"Verrucomicrobiae"
"C2b2","Verrucomicrobia","Verrucomicrobiae","Rubritalea",0.346,"Verrucomicrobiae"
